日本語,英語,メインカラー,アクセントカラー
論理,Logic,濃い青紫,薄い青紫
感性,Instuition,サーモンピンク,薄いピンク
挑戦,Adventure,ショッキングピンク,黄色
慎重,Prudence,薄い空色,濃い空色
変化,Change,オレンジ,紫
持続可能,Sustainability,黄緑,緑
進化,Evolution,肌色,ピンク
平和,Peace,極薄の空色,インディゴ
伝統,Tradition,極薄の空色,黄土色
創造,Creativity,ピンク,エメラルド
寛容,Tolerance,オレンジ,サーモンピンク
規律,Order,空色,インディゴ
躍動,Excitement,黄色,ショッキングピンク
平穏,空色,白
好奇心,Curiosity,サーモンオレンジ,薄いピンク
探究心,Immersion,青緑,ダークブルー
学び,Learning,ベージュ,青緑
行動,Action,オレンジ,薄いピンク
自由,Freedom,空色,芝生色
責任,Responsibillity,青緑,薄い青緑
つながり,Connection,黄色,金色
自立,Autonomy,紺色,黄色
情熱,Passion,サーモンピンク,薄いピンク
思考,Contemplation,青紫,薄い青紫
知性,Intelligence,薄い青緑,薄いくすんだ青
健康,Health,ショッキングピンク,コーラルピンク
主体性,Proactivity,明るい黄色,濃い黄色
協力,Cooperation,濃い空色,黄緑
夢,Dreams,薄いピンク,黄色
現実,Reality,青紫,くすんだ薄い青
クオリティ,Quality,黄色,オレンジ
スピード,Speed,緑青,薄い緑青
遊び心,Playfulness,サーモンピンク,青緑
真摯,Sincerity,白,薄い青
正直,Honesty,青紫,くすんだ薄い青緑
需要,Acceptance,薄い黄色,薄い青紫
個性,Individuality,濃い黄色,薄い紫
調和,Harmony,サーモンピンク,薄いサーモンピンク
優しさ,Kindness,ブラッドオレンジ,ライムグリーン
厳しさ,Discipline,スチールブルー,濃くくすんだ紫
自信,Confidence,ライムグリーン,青紫
称賛,Recognition,薄いサーモンピンク,ライムグリーン
成長,Growth,青紫,黄緑
貢献,Contribution,レンガ色,カシスパープル
共感,Empathy,青りんご色,ボルドー
信念,Faith,ベージュ,えんじ色
プロセス,Process,ネイビー,薄いネイビー
成果,Outcome,ライムグリーン,枯れ草色
感謝,Grattitude,サーモンピンク,ピンク
エンパワーメント,Empowerment,深緑,黄緑
効率,Efficiency,青緑,水色
丁寧,Consideration,サーモンピンク,薄いピンク
謙虚,緑色,ピンク
尊敬,Respect,空色,金色
信頼,Trust,緑,青紫
努力,Effort,ボルドー薄い青紫
友情,Fiendship,パステルピンク,パステルグリーン
誠実,Integrity,パステルブルー,パステルピンク
富,Wealth,金,黄土色
品格,Dignity,灰色,シルバー
プロフェッショナル,Professionalism,パステルピンク,パステルイエロー
多様,Diversity,パステルイエロー,パステルパープル
公平,Equity,赤,ライムグリーン
包容,サーモンピンク,シアン
ビジョン,Vision,薄いゴールド,パステルパープル
柔軟,Flexibility,サーモンピンク,薄いピンク
愛情,Love,サーモンピンク,トマト色
前向き,Positivity, ライムグリーン,青紫
余白,Potential,薄いライムグリーン,白
自然体,Authenticity,青紫,薄い青紫